"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"64","retired","married","secondary","no","4787","no","no","cellular","28","apr","392","1","182","1","success","yes"
"45","management","divorced","secondary","no","644","yes","no","cellular","19","nov","418","1","168","1","success","yes"
"80","retired","married","secondary","no","2354","no","no","telephone","4","aug","199","2","181","3","success","no"
"33","technician","single","secondary","no","181","yes","no","cellular","13","may","25","7","-1","0","unknown","no"
"35","management","married","tertiary","no","-4","no","no","cellular","8","aug","129","2","-1","0","unknown","no"
"50","management","married","primary","no","1458","no","no","cellular","28","jan","92","1","-1","0","unknown","no"
"42","technician","single","secondary","no","631","no","no","telephone","22","jul","171","2","413","3","failure","no"
"41","management","married","tertiary","no","254","no","no","cellular","9","jun","183","2","294","2","failure","yes"
"52","unemployed","divorced","secondary","no","4","no","yes","unknown","18","nov","248","1","-1","0","unknown","no"
"46","technician","married","secondary","no","190","yes","no","cellular","12","aug","370","2","-1","0","unknown","no"
"36","services","married","primary","no","413","yes","no","telephone","13","may","60","1","176","1","failure","no"
"42","technician","married","tertiary","no","246","yes","no","telephone","12","may","360","2","-1","0","unknown","no"
"52","blue-collar","married","secondary","no","1117","yes","no","cellular","13","may","365","1","-1","0","unknown","no"
"53","blue-collar","married","secondary","no","1103","yes","yes","cellular","4","feb","101","2","250","4","failure","no"
"49","admin.","divorced","secondary","no","6512","no","no","cellular","21","nov","93","2","-1","0","unknown","no"
"26","management","single","tertiary","no","-8","no","no","cellular","13","aug","402","2","-1","0","unknown","no"
"32","technician","divorced","secondary","no","409","no","yes","cellular","26","aug","74","4","-1","0","unknown","no"
"46","management","single","secondary","no","244","yes","no","unknown","15","may","244","1","-1","0","unknown","no"
"56","services","divorced","secondary","no","191","no","no","cellular","23","jul","335","3","-1","0","unknown","no"
"52","services","divorced","primary","no","146","yes","no","unknown","9","may","93","1","-1","0","unknown","no"
"59","management","married","tertiary","no","1729","no","no","cellular","30","apr","119","1","-1","0","unknown","no"
"46","management","divorced","tertiary","no","-130","yes","no","cellular","24","mar","144","2","-1","0","unknown","yes"
"57","entrepreneur","married","secondary","no","666","no","no","cellular","4","aug","138","1","-1","0","unknown","no"
"51","services","married","primary","no","56","no","yes","cellular","24","jul","149","2","-1","0","unknown","no"
"26","blue-collar","single","unknown","no","477","yes","no","unknown","4","jun","87","1","-1","0","unknown","no"
"30","entrepreneur","married","secondary","no","1013","yes","no","cellular","3","feb","24","9","-1","0","unknown","no"
"53","technician","married","unknown","no","8605","no","no","cellular","29","jul","635","3","-1","0","unknown","no"
"41","unemployed","single","secondary","no","315","yes","no","telephone","14","may","28","5","-1","0","unknown","no"
"39","admin.","married","tertiary","no","1322","yes","no","cellular","24","sep","157","3","486","1","other","no"
"34","student","single","unknown","no","86","no","no","cellular","16","nov","244","2","178","1","failure","no"
